Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
Buddhist Bell Sets and Dorjes,Instruments,00258,Tibetan,Bronze,,,"bell, dorje, music, Buddhism"
Preston C. Hudson Binoculars,Other - Assorted,00808,,Brass; Glass,"Base diameter 6.0 cm.; Eyepiece diameter 4.1 cm.; Circular glass lens implanted in base, recessed 0.5 cm.; Base overlaid with thin movable brass cylinders; Eyepieces brass with rounded rim and small glass section inlaid, 2.0 cm.; Brass fittings joined with focus mechanism, length 6.0 cm. Finger grip ridged, when turned raises and lowers eyepiece section.",1862-1865,"binoculars; Civil War; The inscription describes the service of Preston C. Hudson as an Adjutant with the 85th Illinois Infantry at several Civil War battles.; ""Preston C. Hudson/Adjutant/85th Illinois Infantry/3rd Brig.2d Div./14 Corps/Army of the Cumberland/1862-1865""; ""Murfreesboro./Chickamauga./Missionary Ridge./Buzzard Roost./Resaca./Peach Tree Creek./Kenesaw Mountain/Rome.Jonesboro./Atlanta./""Atlanta to the Sea""/Savanah;Bentonville"""
Musician's Sword,Firearms and Blades, 00089, Emerson and Silver, Brass and brushed steel, 35 in, 1860s," sword; US DFII 1863, DFM, Emerson and Silver, Trenton, NJ; silver hilt, no shield over hilt"
Model 1933 SS Dagger,Firearms and Blades, 00034," Attributed to ""Jacobs""",,, 1933,
Model 1933 SS Full Roehm Dagger,Firearms and Blades,00034,"Attributed to ""Eickhorn""",,,1933,
Presentation Sword,Firearms and Blades,00274,Anonymous,Steel; gold; gemstones; leather,38 in,,"sword; gemstone (diamond) decoration on grips and scabbard, gold chain from hand guard to pommel of sword"
Nazi SS monogrammed sword,Firearms and Blades,00034,,Steel,,1933,monogrammed SS sword which belonged to Dr. Bernhard Frank; Lion's head hilt with swastika
Monogrammed dagger,Firearms and Blades,00034,,Steel,,1933,"Monogrammed SS dagger; Initials ""B.F."" on the sheath; Hilt of the dagger has swastika and ""SS"""
Cache blade,Firearms and Blades,,Pre-Columbian,,4.5 in x 3.75 in x 0.5 in; Weight,,"Marked in white ink ""71.13.875"""
Paradise,Firearms and Blades,01121,Jan Breughel,Oil on panel,21.5 x 33 in,,From the collection of Major General Sir Claud Alexander (The frame was left)
South Carolina Sword of State,Firearms and Blades,00622,,Steel blade; silver hilt,Total length: 50 in; Blade length: 42in; Hilt length: 8 in,Early 18th century,
Ancient Dice from Game Board Plate,Collectibles,01160,Ur; Iraq,Shell,,,game board; game; dice
Ancient Gaming Board,Collectibles,01160,Ur; Iraq,Shell,,,game board; game; animals
"German, Silver Model of a Boat",Collectibles,00462,Germany,Silver,33.50 x 32.50 cm,16th-19th Century,boat; model; sailboat
The Expanded Compendium of Content for Composing Poetry in 30 Chapters,Books, 00865,China,, 20.10 x 13.20 cm, 1354, Book; China; Woodblock edition of the Jingjiang Academy
Prajnaparamita Sutra in 600 Chapters,Books, 00865, Unknown maker- Chinese in origin, Woodblock, Height: 24.30 cm, Song period, No image associated with this item
"A New General Atlas, Constructed From the Latest Authorities",Books, 00895, Aaron Arrowsmith, Printed paper book, Length: 30 cm, Copyright 1817, No image associated with this item.
The Rock,Books, 00895, Thomas Stearns Eliot, Printed paper, 19.00 cm,," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
Mark Twain's Sketches New and Old,Books, 00895, Samuel Langhorne Clemens, Printed paper, 23.00 cm, Copyright 1875," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book"
History of the Colony of Massachusetts Bay,Books, 00895, Thomas Hutchinson, Printed paper,,," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
The Thurber Album; a new collection of pieces about people,Books, 00895, James Thurber, Printed paper book, Length: 22 cm, Copyright: 1952, No Image Associated with this Item
The Fall of the Magicians,Books, 00895, Weldon Kees, Printed paper book, Length: 21 cm, Copyright: 1947, No Image Associated with this Item;
The Apple Trees; four reminscences,Books, 00895, Hugh Walpole, Printed paper book, Length: 23 cm, Copyright: 1932, No Image Associated with this Item
The Mather Literature,Books, 00895, Thomas James Holmes, Printed paper,, Copyright: 1927," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
Simplicities defense against seven-headed policy,Books, 00895, Samuel Gorton, Printed paper, 18.50 cm, Copyright 1646," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
The Kenyon Book,Books, 00895, W. B. Bodine, Printed paper, 26.00 cm, Copyright 1890," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
"C. Plinii Caec. Sec. Epist. lib. IX [i.e. X] Eiusdem & Traiani imp. epist. amoebaeae. Eivsdem Pl. et Pacati, Mamertini, Nazarii [et al.] panegyrici",Books, 00895, Pliny, Printed paper book, Length: 12 cm, Copyright: 1611, No Image Associated with this Item
The Method of Manjusri's Secret Yoga for Observing the Self and Becoming a Buddha in One Chapter,Books, 00865, China,, 21.90 cm, 1316, book; China; Woodblock edition
Vainglory,Books, 00895, Ronald Firbank, Printed paper, 19.00 cm, Copyright 1915," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
