,Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
256,Poems 1947-1954,Books,00895,Weldon Kees,Printed paper book,Length: 26 cm,Copyright: 1954,No Image Associated with this Item
237,Yeats and Innisfree,Books,00895,Russell King Alspach,Printed paper,23 cm,Copyright: 1965,book; Kenyon College books can be identified by the following
198,"Scepticisms, Notes on Contemporary Poetry",Books,00895,Conrad Aiken,Printed paper,20.00 cm,Copyright,book; poetry; Kenyon College books can be identified by the following
218,Titles of Honor,Books,00895,John Selden,Printed paper book,Length: 28 cm.,Copyright: 1631,book; Kenyon College books can be identified by the following
100,"Gold referral record to the Assayer Mayor of Lima, year 1828",Books,01171,Unknown,Paper,,Made in 06/17/1828,
153,Capita deorvm et illvstrivm hominvm pacis belliqve artibvs clarissimorvm nec non heiroglyphica,Books,00895,Johann Martin von Ebermayer,Printed paper,39.00 cm,Copyright: 1721,book; Kenyon College books can be identified by the following
74,The Dynasts,Books, 00895, Thomas Hardy, Printed paper book,,Copyright: 1924, No Image Associated with this Item
184,More news from Virginia: a further account of Bacon's rebellion reproduced in facsimile with an introduction by Thomas Perkins Abernethy,Books,00895,,printed paper,,Copyright: 1943,book; Kenyon College books can be identified by the following
36,The Theory of the Earth,Books, 00895, Thomas Burnet, Printed paper,, Copyright 1697," book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
194,Parisiani Geographiae ordine litterarum dispositum,Books,00925,Michaelis Baudrand,book,,1682,
51,Elegy on Dead Fashion,Books, 00895, Edith Sitwell, Printed paper, 25.00 cm, 1926,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book"
193,"The Reading Notes Sir Zhen Wenzhong, The Xishan Master",Books,00865,China,,21.10 x 15.60 cm,Song Period,book; China; Woodblock edition of the Fuzhou Education Office
16,"A New General Atlas, Constructed From the Latest Authorities",Books, 00895, Aaron Arrowsmith, Printed paper book, Length: 30 cm, Copyright 1817, No image associated with this item.
95,Des imagistes: an anthology,Books, 00895,,Printed paper book, Height: 30 cm; Width: 45 cm, Copyright 1983, No Image Associated with this Item
115,The Good Soldier: A Tale of Passion,Books,00895,Ford Madox Ford,Printed paper book,19 cm,Copyright 1927,No Image Associated with this Item
268,New Account of Tales of the World in 8 Chapters,Books,00865,China,,20.80 x 13.80 cm,Ming Period,book; China; Color paintings on the edge; Four-color woodblock edition by Ling Yingchu
249,"Walt Whitman: a selection of the manuscripts, books and association items gathered by Charles E. Feinberg",Books,00895,Walt Whitman,Printed paper book,Length: 24 cm,Copyright: 1955,No Image Associated with this Item
129,The Thin Man,Books,01123,Dashiell Hammett,Book,,First edition published in 1934,Call no. PS3515 .A4347 T47 1934b
92,The Philobiblion; a monthly bibliographical journal,Books, 00895, Printed paper,, 22.00 cm, Copyright 1862-1863, book; Kenyon College books can be identified by the following
282,Consilia Medica,Books,00925,Bartholomaeus Montagnana,book,,1476,
104,"Folio (251) of the notarial protocol No.17, Scribe Julián Bravo (1599)",Books,01174,Scribe Julián Bravo,Paper,,1599,
238,Polyhistor,Books,00925,Solinus,Book,,1538,
275,The Children's Bouquet of Verse and Hymn,Books,00895,Aunt Sarah,Printed paper book,Length: 9 cm,Copyright: 1882,No Image Associated with this Item
272,Tabulae Rudolphinae,Books,00925,Johannes Kepler,book,,1627,
170,"Epistolae hactenus in-editae, de locis S. Scripturae, moribusque formandis",Books,00895,Saint Isidorus,Printed paper,18.00 cm,Copyright:1623,book; Kenyon College books can be identified by the following
118,Guangyun Rhyme Dictionary in 5 Chapters,Books,00865,Unknown (Chinese origin),,Height: 16.80 cm; Width: 11.20 cm,Yuan Period,No Image Associated with this Item; Yuan period woodblock with Ming period repairs; Library call # T5125/794D Yuan Period
168,Recueil de Divers Oiseaux Colories,Books,00925,Jean Michel Seligmann,book,,1768,
64,Illustrations and Lists of All Antiquities Known During the Xuanhe Reign Period,Books, 00865, China,, 20.50 x 13.10 cm, 1599-1636, book; China; Original woodblock edition by Yu Chengzu with repairs by Yu Daonan
162,"Imagines deorum, qui ab antiques colebantur: in quibus simulacra ritus, coerimonioe, magnaq[ue] ex parte veterum religio explicatur",Books,00895,Vincenzo Cartari,Printed paper,23.00 cm,Copyright: 1581,book; Kenyon College books can be identified by the following
243,Schwabenspiegel (Landrechtbuch),Books,00925,Schwabenspiegel,Book,,1475-1476,
4522,Fei T'sui Green Jade Saucer,Bowls, 00405, Chinese, Jade; wood,Diameter: 3 3/8 in., 1736-1795, bowl; stand
4531,"Native American Bowl, Gila Polychrome, No Life Line",Bowls,00205,Native American,Ceramic,,13th Century,bowl; geometric; Southwest; black; white; polychrome; Number 72.1.91/644
4545,"Native American Bowl, Southwest Red",Bowls,00205,Native American,Ceramic,Height,13th Century,bowl; geometric; polychrome; Southwest; red; Number 72.1.12/24 written in black ink on the bottom side of the bowl; Bowl has been restored near rim in several places.
4556,"Native American Bowl, Little Colorado Polychrome",Bowls,00205,Native American,Ceramic,Diameter: 7.25 in,13th Century,bowl; Southwest; geometric; black; red; polychrome; Number 72.1.113/SB295
4527,"Native American Bowl, Black Fire-cloud",Bowls,00205,Native American,Ceramic,"H: 3.20 cm, Dia: 10.00 cm",13th Century,bowl; geometric; Southwest; red; Number 77.1.8/BG406
372,Chinese Jade Cup,Ceramic Tea and Coffee Wares,00217,China,Carving jade,,18th Century,Cup; dragon
371,Ceramic pot by Eunice Navaise (Fawn),Ceramic Tea and Coffee Wares,01139,Eunice Navaise (Fawn),,Height: 12 in. Width: 11in.,,
